trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,trip_direction_name,trip_sort
3634080,28,10,SHERMAN,,1,338+,shp-28-08,1,1,Eastbound,63480
1055060,28,2,SHERMAN,,1,438X,shp-28-08,1,1,Eastbound,63480
833060,28,2,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,48720
2145090,28,4,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,55860
1671080,28,10,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,45120
608020,28,1,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,25200
2896020,28,1,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,39000
543080,28,10,U.W. HOSPITAL,,0,104+,shp-28-61,1,1,Westbound,35400
1212020,28,1,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,36300
2607100,28,7,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,30900
236060,28,2,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,31800
2190090,28,4,U.W. HOSPITAL,,0,104+,shp-28-61,1,1,Westbound,40800
986060,28,2,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,41700
179060,28,2,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,39900
2091080,28,10,U.W. HOSPITAL,,0,103+,shp-28-61,1,1,Westbound,34500
2017080,28,10,U.W. HOSPITAL,,0,103+,shp-28-61,1,1,Westbound,39900
2501060,28,2,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,32700
2309020,28,1,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,35400
3533090,28,4,U.W. HOSPITAL,,0,104+,shp-28-61,1,1,Westbound,32700
179020,28,1,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,39900
3446100,28,7,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,29100
311060,28,2,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,34500
2359090,28,4,U.W. HOSPITAL,,0,103+,shp-28-61,1,1,Westbound,31800
1833080,28,10,U.W. HOSPITAL,,0,105+,shp-28-61,1,1,Westbound,30900
809090,28,4,U.W. HOSPITAL,,0,104+,shp-28-61,1,1,Westbound,30000
3231060,28,2,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,40800
2548020,28,1,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,33600
1005060,28,2,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,37200
3392080,28,10,U.W. HOSPITAL,,0,103+,shp-28-61,1,1,Westbound,37200
2190080,28,10,U.W. HOSPITAL,,0,104+,shp-28-61,1,1,Westbound,40800
2359080,28,10,U.W. HOSPITAL,,0,103+,shp-28-61,1,1,Westbound,31800
1791020,28,1,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,38100
179100,28,7,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,39900
2607060,28,2,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,30900
2896100,28,7,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,39000
2557090,28,4,U.W. HOSPITAL,,0,105+,shp-28-61,1,1,Westbound,36300
2501100,28,7,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,32700
1212060,28,2,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,36300
2557080,28,10,U.W. HOSPITAL,,0,105+,shp-28-61,1,1,Westbound,36300
3533080,28,10,U.W. HOSPITAL,,0,104+,shp-28-61,1,1,Westbound,32700
215090,28,4,U.W. HOSPITAL,,0,104+,shp-28-61,1,1,Westbound,38100
986020,28,1,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,41700
1005020,28,1,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,37200
2021080,28,10,U.W. HOSPITAL,,0,105+,shp-28-61,1,1,Westbound,41700
1302080,28,10,U.W. HOSPITAL,,0,103+,shp-28-61,1,1,Westbound,29100
3392090,28,4,U.W. HOSPITAL,,0,103+,shp-28-61,1,1,Westbound,37200
1833090,28,4,U.W. HOSPITAL,,0,105+,shp-28-61,1,1,Westbound,30900
986100,28,7,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,41700
2501020,28,1,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,32700
215080,28,10,U.W. HOSPITAL,,0,104+,shp-28-61,1,1,Westbound,38100
3446020,28,1,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,29100
2295100,28,7,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,30000
1302090,28,4,U.W. HOSPITAL,,0,103+,shp-28-61,1,1,Westbound,29100
236020,28,1,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,31800
809080,28,10,U.W. HOSPITAL,,0,104+,shp-28-61,1,1,Westbound,30000
1791060,28,2,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,38100
2309060,28,2,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,35400
311100,28,7,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,34500
1212100,28,7,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,36300
2309100,28,7,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,35400
3218080,28,10,U.W. HOSPITAL,,0,105+,shp-28-61,1,1,Westbound,39000
236100,28,7,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,31800
543090,28,4,U.W. HOSPITAL,,0,104+,shp-28-61,1,1,Westbound,35400
410090,28,4,U.W. HOSPITAL,,0,105+,shp-28-61,1,1,Westbound,33600
1791100,28,7,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,38100
3231020,28,1,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,40800
311020,28,1,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,34500
2896060,28,2,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,39000
2017090,28,4,U.W. HOSPITAL,,0,103+,shp-28-61,1,1,Westbound,39900
410080,28,10,U.W. HOSPITAL,,0,105+,shp-28-61,1,1,Westbound,33600
